system:index,20230204T091201_20230204T091332_T35UNT_NDVI,20230207T092141_20230207T092337_T35UNT_NDVI,20230209T091029_20230209T091028_T35UNT_NDVI,20230212T092029_20230212T092026_T35UMT_NDVI,20230212T092029_20230212T092026_T35UNT_NDVI,20230214T091051_20230214T091332_T35UNT_NDVI,20230306T090831_20230306T091330_T35UNS_NDVI,20230306T090831_20230306T091330_T35UNT_NDVI,20230319T092031_20230319T092026_T35UMT_NDVI,20230319T092031_20230319T092026_T35UNT_NDVI,20230326T090611_20230326T091116_T35UNS_NDVI,20230326T090611_20230326T091116_T35UNT_NDVI,20230418T092031_20230418T092027_T35UMT_NDVI,20230418T092031_20230418T092027_T35UNT_NDVI,20230423T092029_20230423T092030_T35UMT_NDVI,20230423T092029_20230423T092030_T35UNS_NDVI,20230423T092029_20230423T092030_T35UNT_NDVI,20230425T090551_20230425T091049_T35UNS_NDVI,20230425T090551_20230425T091049_T35UNT_NDVI,20230428T092031_20230428T092028_T35UNT_NDVI,20230430T090559_20230430T091055_T35UNS_NDVI,20230430T090559_20230430T091055_T35UNT_NDVI,20230508T092031_20230508T092028_T35UNT_NDVI,20230510T090559_20230510T091059_T35UNS_NDVI,20230510T090559_20230510T091059_T35UNT_NDVI,20230513T092029_20230513T092031_T35UMT_NDVI,20230513T092029_20230513T092031_T35UNT_NDVI,20230520T090559_20230520T091054_T35UNT_NDVI,20230523T091559_20230523T091940_T35UNT_NDVI,20230525T090601_20230525T091013_T35UNT_NDVI,20230528T092031_20230528T092032_T35UMT_NDVI,20230528T092031_20230528T092032_T35UNS_NDVI,20230528T092031_20230528T092032_T35UNT_NDVI,20230530T090559_20230530T091053_T35UNT_NDVI,20230602T091559_20230602T091939_T35UMT_NDVI,20230602T091559_20230602T091939_T35UNT_NDVI,20230604T090601_20230604T091053_T35UNT_NDVI,20230617T092031_20230617T092032_T35UNT_NDVI,20230619T090559_20230619T091056_T35UNT_NDVI,20230624T090601_20230624T091055_T35UNT_NDVI,20230702T091559_20230702T091943_T35UMT_NDVI,20230702T091559_20230702T091943_T35UNT_NDVI,20230709T090559_20230709T091057_T35UNS_NDVI,20230709T090559_20230709T091057_T35UNT_NDVI,20230712T091559_20230712T091940_T35UMT_NDVI,20230712T091559_20230712T091940_T35UNS_NDVI,20230712T091559_20230712T091940_T35UNT_NDVI,20230717T092031_20230717T092032_T35UMT_NDVI,20230717T092031_20230717T092032_T35UNS_NDVI,20230717T092031_20230717T092032_T35UNT_NDVI,20230719T090559_20230719T091058_T35UNT_NDVI,20230729T090559_20230729T091058_T35UNT_NDVI,20230801T091559_20230801T091943_T35UMT_NDVI,20230801T091559_20230801T091943_T35UNS_NDVI,20230801T091559_20230801T091943_T35UNT_NDVI,20230803T090601_20230803T091014_T35UNS_NDVI,20230803T090601_20230803T091014_T35UNT_NDVI,20230806T092031_20230806T092037_T35UMT_NDVI,20230806T092031_20230806T092037_T35UNS_NDVI,20230806T092031_20230806T092037_T35UNT_NDVI,20230813T090601_20230813T091445_T35UNS_NDVI,20230813T090601_20230813T091445_T35UNT_NDVI,20230816T092031_20230816T092034_T35UMT_NDVI,20230816T092031_20230816T092034_T35UNT_NDVI,20230821T091559_20230821T092555_T35UMT_NDVI,20230821T091559_20230821T092555_T35UNS_NDVI,20230821T091559_20230821T092555_T35UNT_NDVI,20230823T090601_20230823T091022_T35UNT_NDVI,20230828T090559_20230828T091557_T35UNS_NDVI,20230828T090559_20230828T091557_T35UNT_NDVI,20230905T092031_20230905T092033_T35UMT_NDVI,20230905T092031_20230905T092033_T35UNS_NDVI,20230905T092031_20230905T092033_T35UNT_NDVI,20230907T090559_20230907T090731_T35UNS_NDVI,20230907T090559_20230907T090731_T35UNT_NDVI,20230910T091559_20230910T092601_T35UMT_NDVI,20230910T091559_20230910T092601_T35UNS_NDVI,20230910T091559_20230910T092601_T35UNT_NDVI,20230912T090601_20230912T091011_T35UNS_NDVI,20230912T090601_20230912T091011_T35UNT_NDVI,20230915T092031_20230915T092032_T35UNT_NDVI,20230917T090629_20230917T091535_T35UNS_NDVI,20230917T090629_20230917T091535_T35UNT_NDVI,20230922T090701_20230922T091334_T35UNS_NDVI,20230922T090701_20230922T091334_T35UNT_NDVI,20230925T092031_20230925T092341_T35UNT_NDVI,20230927T090659_20230927T090954_T35UNT_NDVI,20230930T091709_20230930T092515_T35UMT_NDVI,20230930T091709_20230930T092515_T35UNS_NDVI,20230930T091709_20230930T092515_T35UNT_NDVI,20231005T092031_20231005T092029_T35UNT_NDVI,20231010T091819_20231010T091814_T35UMT_NDVI,20231010T091819_20231010T091814_T35UNS_NDVI,20231010T091819_20231010T091814_T35UNT_NDVI,20231017T090859_20231017T090944_T35UNS_NDVI,20231017T090859_20231017T090944_T35UNT_NDVI,20231022T091021_20231022T091332_T35UNT_NDVI,20231104T092141_20231104T092333_T35UNT_NDVI,20231119T092159_20231119T092200_T35UMT_NDVI,20231119T092159_20231119T092200_T35UNS_NDVI,20231119T092159_20231119T092200_T35UNT_NDVI,20231221T091401_20231221T091404_T35UNT_NDVI,20231231T091401_20231231T091358_T35UNT_NDVI,lc,remapped,.geo
0000000000000000000a,,,,,,,,,,,,,,,,,0.603588157770585,,0.6032159025706942,,,0.6515226391167327,,,,,,,,,,,0.610043625847823,,,,,,,,,,,0.45289357868181607,,,0.6511079232438621,,,0.6447881114185532,,,,,0.6937532677672077,,0.7019956475482777,,,0.6919267366802881,,0.6937773972411816,,,,,,,,,,,0.6099406706502919,,0.6673419916170255,,,0.7048663668621695,,0.48568894141385344,,,,,,,,,,,,,,0.6873841428972967,,0.18708720026102738,,,,,,,,5,5,"{""type"":""Point"",""coordinates"":[27.277363353751927,51.453188511726225]}"
0000000000000000000b,,,,,,,,,,,,,,,,,0.12470837501711857,,,,,0.554458518552672,,,,,,,,,,,0.1681645465275598,,,,,,,,,,,,,,,,,,,,,,,,0.8107055625677649,,,0.7569847212356775,,,,,,,,,,,,,0.5124649032443559,,,,,0.7795225252099589,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,"{""type"":""Point"",""coordinates"":[27.17426810382847,51.53643621046838]}"
0000000000000000000c,,,,,,,,,,,,,,,,,,,,,,0.6174283873737534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7528051769111702,,,0.6227374391761227,,0.64288909175769,,,,,,,,,,,,,0.4419595445094466,,,0.694311548252495,,,,,,,,,,,,0.35749637877860035,,,,,,,,,,,,,,5,5,"{""type"":""Point"",""coordinates"":[27.180176910186606,51.52049785324865]}"
0000000000000000000d,,,,,,,,,,,,,,,,,,,,,,0.5367558963444768,,,,,,,,,,,,,,,,,,,,,,,,,0.6039572190535583,,,,,,,,,,,,,0.5895736885178927,,0.5850127719156867,,,,,0.5582932374374666,,,0.5003766786484491,,,,,0.5652132822272459,,,0.5694874523718612,,0.5404035616623842,,,,,,,,,,0.5295604216674018,,,,0.38256350605666234,,0.13276153370366345,,,,,,,,5,5,"{""type"":""Point"",""coordinates"":[27.188886046194707,51.51420403819931]}"
0000000000000000000e,,,,,,,,,,,,,,,,,,,,,,0.5315864176706933,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27828305216332955,,,,,,,0.6999687214557276,,,0.555602175173035,,0.4647603460044818,,,,,,,,,,,,,,,,0.7624548123537007,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,"{""type"":""Point"",""coordinates"":[27.240795582010275,51.50001833107307]}"
0000000000000000000f,,,,,,,,,,,,,,,,,,,0.39193612357386115,,,0.5547684494600275,,,,,,,,,,,0.5437973524167155,,,,,,,,,,,,,,0.6093600797815388,,,0.5935754300245082,,,,,0.5571380518461301,,0.6336976646566067,,,0.6229771206708722,,0.6224993398400391,,,,,,,,0.19260449663581763,,,,,0.6013228520244157,,,0.6200899695322898,,0.5801671396037078,,,0.46105517065173646,,,,,,,,,,,0.41367348359555617,,,,,,,,,,5,5,"{""type"":""Point"",""coordinates"":[27.27861867835663,51.52923562630444]}"
00000000000000000010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5233095004445031,,,,,,,0.7484020943544349,,,0.7185264464949265,,0.7076861298814112,,,,,,,,,,,0.2913760871303325,,,,,0.6677893924605008,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,"{""type"":""Point"",""coordinates"":[27.290177797318552,51.5068332781992]}"
00000000000000000011,,,,,,,,,,,,,,,,,,,,,,0.5042335593781504,,,,,,,,,,,,,,,,,,,,,,,,,0.6393340267832317,,,,,,,,,,0.65161604648815,,,0.6319331737602649,,0.6251828467764822,,,,,0.4812001195353986,,,0.33070521776368017,,,0.5478168467815772,,,,,0.6003535883226633,,0.17001003500015016,,,,,,,,,,0.5383583103177769,,,,0.04732394759076523,,,,,,,,,,5,5,"{""type"":""Point"",""coordinates"":[27.193785298416305,51.51703345554036]}"
00000000000000000012,,,,,,,,,,,,,,,,,0.37819738101526723,,0.40453034835337515,,,0.5109266027841979,,,,,,,,,,,0.5072765405080757,,,,,,,,,,,0.18020969588740343,,,0.5541773976382215,,,,,,,,,,0.5969011387587134,,,0.5762137820661203,,0.5706496990186557,,,,,,,,0.3822795470285308,,,0.5557423625943883,,0.5272867044353702,,,0.562142009097162,,0.5480932263560306,,,0.4674959121918192,,0.19914958563521337,,,,,0.5358276190130619,,,,0.5175455396407856,,,,,,,,,,5,5,"{""type"":""Point"",""coordinates"":[27.17128252187591,51.507224227389834]}"
00000000000000000013,,,,,,,,,,,,,,,,,,,,,,0.5400365478868117,,,,,,,,,,,0.5147366093264686,,,,,,,,,,,,,,0.4144393177259536,,,0.49826582516131757,,,,,,,0.7253390014036443,,,0.6668216071161284,,0.5783365033651425,,,,,0.31022521454731083,,,0.1880495750985178,,,0.4811054281636971,,0.4011221848377565,,,0.7305719467247425,,0.2666183547908757,,,,,,,,,,0.16081452896805848,,,,,,,,,,,,,,5,5,"{""type"":""Point"",""coordinates"":[27.27180732091728,51.48715064527318]}"
00000000000000000014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13853928034538043,,,,,,,,,,,,,,0.6783816998237385,,,,,,,,,,,,,0.692928244872969,,,,,,,0.24843959540736918,,,,,,0.576677665688824,,0.5880344127581504,,,0.6796755239266117,,0.5417896952488526,,,,,,,,,,0.36742947052936165,,,,,,,,,,,,,,5,5,"{""type"":""Point"",""coordinates"":[27.150883975095013,51.51359878565133]}"
00000000000000000015,,,,,,,,,,,,,,,,,,,0.5048568185900344,,,0.5848561534805904,,,,,,,,,,,0.5738584334347524,,,,,,,,,,,,,,0.4348941721072813,,,0.6026349027140611,,,,,0.617836151398769,,0.6455293168016032,,,0.6361517784546833,,0.6356627739746284,,,,,,,,0.23167249945556226,,,0.5109097492667823,,0.6233826090419103,,,0.6385535858656003,,0.5708221616117862,,,,,,,,,,,,,,0.4959969274581425,,,,,,,,,,5,5,"{""type"":""Point"",""coordinates"":[27.273369960217096,51.52435047827168]}"
00000000000000000016,,,,,,,,,,,,,,,,,,,,,,0.6091056425555222,,,,,,,,,,,0.5970470510642816,,,,,,,,,,,,,,,,,0.6237620434252854,,,,,,,0.6844963075892996,,,0.6508588169167101,,0.6558182411183036,,,,,0.6331848257523275,,,,,,0.4759209154684798,,0.6449204875228086,,,0.6626017224761634,,0.6259632720157944,,,,,,,,,,0.36660286074592957,,,,,,,,,,,,,,5,5,"{""type"":""Point"",""coordinates"":[27.212136281384137,51.49118807052729]}"
00000000000000000017,,,,,,,,,,,,,,,,,,,,,,0.6115197489321097,,,,,,,,,,,,,,,,,,,,,,,,,0.6817424582515985,,,0.6774974107201678,,,,,,,0.7175599439344168,,,0.7030091110000265,,0.7012132477868441,,0.6929338101356749,,,,,,,,,,,0.6259171522123202,,,0.6960081527022277,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,"{""type"":""Point"",""coordinates"":[27.288532828155784,51.52629874613838]}"
00000000000000000018,,,,,,,,,,,,,,,,,0.6567018684886751,,0.6212061978792117,,,0.6648475634538127,,,,,,,,,,,0.6226871912441556,,,,,,,,,,,0.6323442937565499,,,,,,0.6567590189358545,,,,,0.7061160128403142,,0.714166925877941,,,0.704598182318162,,0.7087702355146949,,,,,,,,,,,0.5160340595137235,,0.6929994048445133,,,0.7194067372216119,,,,,,,,,,,,,,,,0.6898075200262525,,,,,,,,,,5,5,"{""type"":""Point"",""coordinates"":[27.27449782223363,51.45305461624052]}"
00000000000000000019,,,,,,,,,,,,,,,,,0.5143437681554938,,0.24280895066369418,,,,,,,,,,,,,,0.5116446491271731,,,,,,,,,,,,,,0.5844065867313722,,,,,,,,,,0.6298357748390596,,,0.6150497613039687,,0.6089884006247228,,,,,0.402200275673077,,,,,,0.6025537730885201,,0.5959863082892229,,,0.6043611613530961,,0.5944198018569254,,,,,,,,,,0.48463422384391835,,,,0.47599272717153673,,,,,,,,,,5,5,"{""type"":""Point"",""coordinates"":[27.15795770032291,51.513581250993]}"
0000000000000000001a,,,,,,,,,,,,,,,,,,,0.26345903519329844,,,0.5375108224869856,,,,,,,,,,,,,,,,,,,,,,,,,0.5655876788692951,,,,,,,,,,0.6245360175768534,,,0.6068709568371848,,0.5966258308514446,,,,,,,,0.36231681670731697,,,0.5516169111744887,,0.5279287648579432,,,0.5699002721142066,,0.5156598312784485,,,,,,,,,,0.5430545734575276,,,,0.41656847700240124,,,,,,,,,,5,5,"{""type"":""Point"",""coordinates"":[27.170195519804135,51.51182262785171]}"
0000000000000000001b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7014150534357344,,,,,,,,,,,,,,,,,,,,,0.7775998827821814,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,"{""type"":""Point"",""coordinates"":[27.167733405527798,51.541148529646044]}"
0000000000000000001c,,,,,,,,,,,,,,,,,0.31423653557457354,,0.309587306987131,,,0.4043122075177104,,,,,,,,,,,0.4211339172051877,,,,,,,,,,,,,,0.4469729455149904,,,0.3650655557914656,,,,,0.27347322764580484,,0.4610921576315043,,,0.45183514332284735,,0.45204977302594523,,,,,,,,,,,,,0.44173814758421887,,,0.4463187984598467,,0.4400026709044061,,,0.43542651119145676,,,,,,,0.4250425765979317,,,,0.4449889505125768,,0.4376367674528066,,,,,,,,5,5,"{""type"":""Point"",""coordinates"":[27.177076251385518,51.5009429462726]}"
0000000000000000001d,,,,,,,,,,,,,,,,,,,,,,0.5388157289314702,,,,,,,,,,,0.49560654920244973,,,,,,,,,,,,,,,,,0.6696352228826407,,,,,,,,,,0.6891395826728977,,0.6820508325451355,,0.4995032563771791,,,0.5786341412537763,,,0.4650097639382291,,,,,0.5902239564054407,,,0.6742802116335654,,0.5847072275587761,,,,,,,,,,,,,,,,,,,,,,,,5,5,"{""type"":""Point"",""coordinates"":[27.266639423533707,51.514660932893065]}"
0000000000000000001e,,,,,,,,,,,,,,,,,,,,,,0.3485961655099916,,,,,,,,,,,,,,,,,,,,,,,,,0.6474947376586413,,,,,,,,,,0.7738325360680924,,,,,,,,,,,,,,,,,,,,,0.7385725370880698,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,"{""type"":""Point"",""coordinates"":[27.172700581518654,51.54036455193086]}"
0000000000000000001f,,,,,,,,,,,,,,,,,,,,,,0.5692691282620506,,,,,,,,,,,,,,,,,,,,,,,,,0.5372111971686486,,,,,,,,,,0.7030876195079345,,,0.6640654613101293,,0.6647215003059024,,,,,0.44236262828584705,,,,,,,,,,,0.6633850361754835,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,"{""type"":""Point"",""coordinates"":[27.201100058439184,51.51835096917731]}"
00000000000000000020,,,,,,,,,,,,,,,,,,,,,,0.6568883814238637,,,,,,,,,,,0.42424564972486084,,,,,,,,,,,,,,0.6799239735214078,,,0.685578802680753,,,,,,,0.7405621771639437,,,0.7292180253264585,,0.7338198570707758,,,,,,,,0.06329837286012784,,,0.6937660304597176,,,,,0.7514099792288004,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,"{""type"":""Point"",""coordinates"":[27.260064875746522,51.523583020384415]}"
00000000000000000021,,,,,,,,,,,,,,,,,,,,,,0.440489960230397,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7198823506599651,,,,,,,0.7628299522291776,,,0.7489189581265525,,0.7182623749417243,,,,,,,,,,,,,,,,0.7457402439074181,,,,,,,,,,,,0.286636495130673,,,,,,,,,,,,,,5,5,"{""type"":""Point"",""coordinates"":[27.26565109626072,51.51088997112915]}"
00000000000000000022,,,,,,,,,,,,,,,,,,,,,,0.4980314922711206,,,,,,,,,,,0.5472562915208389,,,,,,,,,,,0.08944226906142808,,,0.5034913565296164,,,0.6329797472542916,,,,,,,0.7352824519280674,,,0.7077416385652797,,0.6754356392927451,,,,,0.3712141524637097,,,,,,0.5633477406436894,,0.49154412584239937,,,0.7242481930185608,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,"{""type"":""Point"",""coordinates"":[27.273039077001098,51.4879347645899]}"
00000000000000000023,,,,,,,,,,,,,,,,,,,,,,0.5144599862650139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.710961607713548,,,0.6710616581294001,,0.6665615825966643,,,,,0.4186741083927976,,,,,,,,0.36567086386842795,,,0.6587605565583625,,,,,,,0.09449810945257849,,,,,,,,,,,,,,,,,,,5,5,"{""type"":""Point"",""coordinates"":[27.203579363541554,51.512315610999465]}"
00000000000000000024,,,,,,,,,,,,,,,,,,,,,,0.5236281289670472,,,,,,,,,,,0.5492878718441035,,,,,,,,,,,,,,,,,0.6207130370226577,,,,,,,0.7344565661180588,,,0.7128190666504728,,0.6692082671756917,,,,,0.27313977365050457,,,,,,,,0.5249414038495953,,,0.7356958325758002,,,,,,,,,,,,0.3353850777997992,,,,,,,,,,,,,,5,5,"{""type"":""Point"",""coordinates"":[27.293996914270057,51.49109962251925]}"
